序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,週票數變動率,累計銷售票數,累計銷售金額(萬),count
42,中華民國,妖果小學─水果奶奶的大秘密,2022/1/21,牽猴子股份有限公司,財團法人公共電視文化事業基金會,44,314.29%,4973,115.9658,1
43,美國,西城故事,2022/1/21,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",71,-78.46%,13828,344.7221,1
44,日本,劇場版FREE! 男子游泳部–the Final Stroke–前篇,2022/1/21,采昌國際多媒體股份有限公司,"ABC ANIMATION,INC.",40,-65.32%,11049,260.4189,1
45,法國,我的神秘狼朋友,2022/1/21,捷傑有限公司,GAUMONT S.A.,13,-44.44%,928,21.2682,1
46,日本,說不出口的愛,2022/1/21,希望行銷娛樂有限公司,Good Move Media,10,0.00%,223,5.1243,1
47,中華民國,再說一次我願意,2022/1/19,皮諾丘電影事業有限公司,"皮諾丘電影事業有限公司,白色影像製作股份有限公司,主雅映象有限公司,沅珅科技有限公司",88,-50.82%,23373,550.8045,1
48,美國,GUCCI：豪門謀殺案,2022/1/7,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,88,-75.58%,70462,1822.6891,1
49,日本,鳩的擊退法,2022/1/7,中影股份有限公司,"松竹 株式會社 Shochiku Co.,Ltd",19,4.20%,1870,41.5209,1
50,日本,名偵探柯南：大怪獸哥梅拉VS假面超人,2022/1/7,曼迪傳播有限公司,YOMIURI TELECASTING CORPORATION,58,-94.59%,18738,445.8051,1
51,俄羅斯,鬼保母,2022/1/7,車庫娛樂股份有限公司,CENTRAL PARTNERSHIP SALES HOUSE,26,-100.00%,5895,140.8299,1
52,挪威,世界上最爛的人,2021/12/31,好威映象有限公司,MK2,18,109.41%,9146,219.8237,1
53,美國,魔鬼剋星：未來世,2021/12/31,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,91,0.00%,44066,1027.9622,1
54,美國,金牌特務：金士曼起源,2021/12/30,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",99,-73.82%,614546,15500.2574,1
55,美國,阿達一族 2,2021/12/30,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,88,0.00%,20167,470.7633,1
56,法國,鈦,2021/12/30,光年映畫有限公司,WILD BUNCH INTERNATIONAL,16,22.02%,5526,124.5581,1
57,泰國,記憶,2021/12/26,傳影互動股份有限公司,Kick The Machine Films,2,58.33%,1057,23.2406,1
58,日本,在車上,2021/12/25,東昊影業有限公司,The Match Factory GmbH,25,-28.28%,21825,557.569,1
59,中華民國,一杯熱奶茶的等待,2021/12/24,台北?喜電影發行股份有限公司,"一杯熱奶茶影視有限公司,華文創股份有限公司,金贊實業有限公司,滾動力股份有限公司,中環國際娛樂事業股份有限公司,天立揚製片有限公司,愷聯資本有限公司,益康顧問有限公司,大瀚國際開發股份有限公司,盛青陽娛樂製作股份有限公司",65,0.00%,37052,905.5083,1
60,中華民國,噩兆,2021/12/24,車庫娛樂股份有限公司,"車庫娛樂股份有限公司,映象工廠有限公司,Arthur Film  ????(?)",44,-100.00%,65523,1615.8081,1
61,美國,駭客任務：復活,2021/12/22,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,99,0.00%,205143,5351.958,1
62,希臘,夢想裁縫師,2021/12/17,天馬行空數位有限公司,Pluto Film Distribution Network Gmbh,5,62.00%,1741,36.2967,1
63,美國,蜘蛛人：無家日,2021/12/15,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,99,-53.71%,1961426,49747.2291,1
64,冰島,天菜特警,2021/12/10,原創娛樂股份有限公司,ALIEF SAS.,2,3.39%,1294,21.9688,1
65,美國,大紅狗克里弗,2021/12/10,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,55,-13.10%,19535,446.3268,1
66,中華民國,美國女孩,2021/12/3,水花電影股份有限公司,"水花電影股份有限公司,寰亞電影製作有限公司,杰威爾音樂有限公司,G.H.Y. Culture & Media (Singapore)",35,189.55%,81356,1920.1906,1
