序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,週票數變動率,累計銷售票數,累計銷售金額
118,美國,法蘭西特派週報,2021/12/10,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",32,-77.89%,"39,317","9,573,225"
119,美國,王者理查,2021/11/18,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,7,-79.10%,"25,234","5,794,517"
120,美國,鹿魔,2021/11/12,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",3,-68.42%,"16,065","3,744,168"
121,美國,迷離夜蘇活,2021/11/12,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,6,-68.18%,"26,720","6,340,556"
122,美國,四個好日子,2021/10/8,鴻聯國際開發股份有限公司,FGD Movie Inc.,2,-53.33%,"1,383","252,766"
123,美國,寶貝老闆：家大業大,2021/10/8,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,4,-77.69%,"41,372","9,505,430"
124,美國,007 生死交戰,2021/9/29,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,7,-68.76%,"567,861","151,318,945"
125,日本,蠟筆小新：謎案！天下春日部學院的怪奇事件,2021/9/24,木棉花國際股份有限公司,ADK EMOTIOS INC.,2,-100.00%,"78,436","19,561,391"
126,美國,尚氣與十環傳奇,2021/9/2,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",7,-58.37%,"586,271","149,802,491"
127,美國,脫稿玩家,2021/8/12,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",6,-73.53%,"294,639","73,561,848"
